"event_type"
"accession"
"accumulation"
"acknowledgement"
"acknowledgement_sent"
"agreement_received"
"agreement_sent"
"agreement_signed"
"appraisal"
"assessment"
"capture"
"cataloged"
"collection"
"component_transfer"
"compression"
"contribution"
"copyright_transfer"
"custody_transfer"
"deaccession"
"decompression"
"decryption"
"deletion"
"digital_signature_validation"
"digitization_partial"
"digitization_whole"
"fixity_check"
"image_capture"
"ingestion"
"message_digest_calculation"
"migration"
"normalization"
"pii_scan"
"processed"
"processing_completed"
"processing_completed_baseline"
"processing_erecs need a&d"
"processing_in_progress"
"processing_new"
"processing_ready_for_review"
"processing_started"
"processing_unprocessed"
"publication"
"replication"
"request"
"rights_transferred"
"stream_capture"
"transfer_capture"
"validation"
"virus_check"
